Kepler ID,KOI Name,Kepler Name,Kepler Disposition,NExScI Disposition,RA (J2000),Dec (J2000),Time of Transit Epoch,Period,Transit Depth,Duration,Ingress Duration,Impact Parameter,Inclination,Semi-major Axis,Eccentricity,Long of Periastron,r/R,a/R,Planet Radius,Teq,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Age,Provenance,Quarters,Transit Number,KOI count,Binary Discrimination,Transit Model,Transit Model SNR,Transit Model DOF,Transit Model chisq,Last vet Update,DV Report,DV Summary,Transit Flag,Secondary Flag,Offset Flag,Contamination Flag,Disposition Score
5652260,K03703.01,,FALSE POSITIVE,FALSE POSITIVE,19 58 11.266,+40 51 40.58,132.311502,4.464565251,74112,4.0221,,1.046,83.15,0.052,0,,0.464,8.766,43.21,1024,5743,4.553,-0.14,0.853,0.949,,q1_q17_dr25_stellar,1.11111E+22,140,1,0,Mandel and Agol (2002 ApJ 580 171),286.4,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005652260/kplr005652260-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005652260/kplr005652260-01-20160209194854_dvs.pdf,0,1,0,0,0
5652893,K02790.01,Kepler-1347 b,CANDIDATE,CONFIRMED,19 58 38.306,+40 50 37.86,132.96947,14.00948631,169.9,3.399,,0.268,89.5,0.104,0,,0.012,30.72,0.98,617,5153,4.551,-0.18,0.767,0.763,,q1_q17_dr25_stellar,1.11111E+31,93,1,0.219,Mandel and Agol (2002 ApJ 580 171),22.6,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005652893/kplr005652893-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005652893/kplr005652893-01-20160209194854_dvs.pdf,0,0,0,0,1
5652983,K00371.01,,FALSE POSITIVE,FALSE POSITIVE,19 58 42.276,+40 51 23.37,244.08166,498.391282,1590,6.135,,0.959,89.79,1.389,0,,0.051,267,17.14,339,5134,3.611,0.08,3.107,1.438,,q1_q17_dr25_stellar,1.11111E+31,3,2,0.235,Mandel and Agol (2002 ApJ 580 171),49.7,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005652983/kplr005652983-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005652983/kplr005652983-01-20160209194854_dvs.pdf,1,0,0,0,0
5652983,K00371.02,,FALSE POSITIVE,FALSE POSITIVE,19 58 42.276,+40 51 23.37,133.2317,9.0584662,61.8,6.376,,0.154,89.38,0.098,0,,0.007,10.817,2.46,1310,5198,3.614,0.19,3.207,1.552,,stellar_q1_q17,1.11111E+31,151,2,,Mandel and Agol (2002 ApJ 580 171),17.9,,,9/18/2015 0:00,,,0,1,1,0,
5653072,K03252.01,,FALSE POSITIVE,FALSE POSITIVE,19 58 45.900,+40 51 21.45,132.50118,3.22452656,57.5,5.156,,0.1,88.81,0.042,0,,0.006,4.821,24.48,4883,3857,1.338,0.14,34.674,0.954,,stellar_q1_q16,1.11111E+31,419,1,,Mandel and Agol (2002 ApJ 580 171),24.3,,,9/18/2015 0:00,,,0,0,1,0,
5653126,K06612.01,,FALSE POSITIVE,FALSE POSITIVE,19 58 48.480,+40 53 46.58,152.84943,38.49536985,93327,12.8716,,1.013,87.66,0.246,0,,0.486,24.85,124.34,824,6050,3.823,0.02,2.345,1.332,,q1_q17_dr25_stellar,1.11111E+31,35,2,0.642,Mandel and Agol (2002 ApJ 580 171),201.9,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005653126/kplr005653126-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005653126/kplr005653126-01-20160209194854_dvs.pdf,0,1,0,0,0
5653126,K06612.02,,FALSE POSITIVE,FALSE POSITIVE,19 58 48.480,+40 53 46.58,133.170974,2.404483552,0.8,0.2961,,1,75.19,0.039,0,,0.002,3.912,0.48,2078,6050,3.823,0.02,2.345,1.332,,q1_q17_dr25_stellar,1.11111E+31,557,2,0.163,Mandel and Agol (2002 ApJ 580 171),0,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005653126/kplr005653126-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005653126/kplr005653126-03-20160209194854_dvs.pdf,0,0,0,1,0
5653152,K05189.01,,FALSE POSITIVE,FALSE POSITIVE,19 58 50.009,+40 51 51.26,132.99426,3.58957045,1221.2,3.418,,0.002,89.99,0.041,0,,0.031,8.29,2.49,862,4608,4.559,0.21,0.746,0.734,,q1_q17_dr25_stellar,1.11111E+30,362,1,0.22,Mandel and Agol (2002 ApJ 580 171),53.6,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005653152/kplr005653152-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005653152/kplr005653152-01-20160209194854_dvs.pdf,0,1,1,0,0
5653163,K05190.01,,FALSE POSITIVE,FALSE POSITIVE,19 58 50.458,+40 52 40.94,133.2257,2.40435325,349.6,6.825,,1.202,26.14,0.035,0,,0.221,1.339,24.16,1359,5780,4.438,0,1,1,,Solar,1.11111E+22,259,1,0.035,Mandel and Agol (2002 ApJ 580 171),23.3,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005653163/kplr005653163-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005653163/kplr005653163-01-20160209194854_dvs.pdf,0,1,0,1,0
5653795,K07734.01,,FALSE POSITIVE,FALSE POSITIVE,19 59 20.712,+40 53 12.23,215.6117,118.314913,216.3,4.79,,0.522,89.82,0.575,0,,0.014,164.1,7.23,786,6190,3.34,-0.34,4.763,1.811,,q1_q17_dr25_stellar,1.11111E+31,7,1,0.537,Mandel and Agol (2002 ApJ 580 171),7,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005653795/kplr005653795-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005653795/kplr005653795-02-20160209194854_dvs.pdf,1,0,0,0,0.23
5653849,K03711.01,,FALSE POSITIVE,FALSE POSITIVE,19 59 23.035,+40 50 43.12,161.93506,111.0396205,9356.2,25.751,,0.851,87.89,0.404,0,,0.101,23.071,8.6,335,5470,4.509,-0.58,0.777,0.71,,q1_q17_dr25_stellar,1.11111E+31,12,1,0,Mandel and Agol (2002 ApJ 580 171),201.9,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005653849/kplr005653849-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005653849/kplr005653849-01-20160209194854_dvs.pdf,0,1,1,0,0
5683219,K08257.01,,CANDIDATE,CANDIDATE,18 51 51.708,+40 55 21.43,138.7888,9.4609418,47.5,4.888,,0.161,89.37,0.078,0,,0.006,14.7,0.54,767,5485,4.5,-0.56,0.788,0.716,,q1_q17_dr25_stellar,1.11101E+31,112,1,0.943,Mandel and Agol (2002 ApJ 580 171),7.9,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005683219/kplr005683219-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005683219/kplr005683219-01-20160209194854_dvs.pdf,0,0,0,0,0.347
5683743,K00412.01,Kepler-546 b,CANDIDATE,CONFIRMED,18 53 01.824,+40 59 25.80,170.325835,4.147021189,3680.7,2.8997,,0.255,88.7,0.05,0,,0.056,11.21,7.31,1258,5818,4.266,-0.02,1.205,0.977,,q1_q17_dr25_stellar,1.11101E+31,252,1,0.012,Mandel and Agol (2002 ApJ 580 171),421.2,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005683743/kplr005683743-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005683743/kplr005683743-01-20160209194854_dvs.pdf,0,0,0,0,0.922
5685113,K05191.01,,FALSE POSITIVE,FALSE POSITIVE,18 55 41.916,+40 58 06.21,142.0615,37.078668,147.4,4.403,,0.51,89.38,0.189,0,,0.011,56.2,0.8,419,5120,4.628,-0.7,0.65,0.655,,stellar_q1_q16,,,1,,Mandel and Agol (2002 ApJ 580 171),6.9,,,12/4/2014 0:00,,,1,0,0,0,
5686174,K00610.01,Kepler-622 b,CANDIDATE,CONFIRMED,18 57 54.838,+40 55 59.17,180.84677,14.28228147,983.2,2.6588,,0.019,89.97,0.098,0,,0.028,42.18,1.82,446,4102,4.675,-0.06,0.595,0.612,,q1_q17_dr25_stellar,1.11101E+31,73,1,0.338,Mandel and Agol (2002 ApJ 580 171),44.7,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005686174/kplr005686174-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005686174/kplr005686174-01-20160209194854_dvs.pdf,0,0,0,0,1
5686974,K06613.01,,FALSE POSITIVE,FALSE POSITIVE,18 59 30.139,+40 59 03.94,134.0885,4.18224416,57.2,6.209,,0.99,46.42,0.049,0,,0.01,1.436,1.07,1206,6057,4.392,-0.46,0.999,0.896,,q1_q17_dr25_stellar,1.11101E+31,249,1,0.497,Mandel and Agol (2002 ApJ 580 171),13.8,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005686974/kplr005686974-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005686974/kplr005686974-01-20160209194854_dvs.pdf,0,0,0,1,0
5687700,K04587.01,,CANDIDATE,CANDIDATE,19 00 53.796,+40 57 32.15,131.8069,6.36283414,159.4,3.752,,0.141,89.38,0.067,0,,0.012,12.99,1.12,956,5955,4.534,-0.24,0.883,0.972,,q1_q17_dr25_stellar,1.11101E+31,160,1,0.441,Mandel and Agol (2002 ApJ 580 171),9.9,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005687700/kplr005687700-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005687700/kplr005687700-01-20160209194854_dvs.pdf,0,0,0,0,0.936
5687986,K07735.01,,CANDIDATE,CANDIDATE,19 01 28.783,+40 54 26.74,356.7308,382.30306,225.6,8.83,,0.597,89.87,1.132,0,,0.014,271.21,4.05,400,5993,3.733,-0.18,2.59,1.323,,q1_q17_dr25_stellar,1.11101E+31,4,1,0.71,Mandel and Agol (2002 ApJ 580 171),9.6,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005687986/kplr005687986-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005687986/kplr005687986-01-20160209194854_dvs.pdf,0,0,0,0,0.318
5688683,K04097.01,,CANDIDATE,CANDIDATE,19 02 45.600,+40 59 40.31,133.1555,2.790643481,202,0.6871,,0.787,87.73,0.033,0,,0.015,19.89,0.99,816,4353,4.681,-0.18,0.603,0.648,,q1_q17_dr25_stellar,1.11101E+31,369,2,0.853,Mandel and Agol (2002 ApJ 580 171),20.2,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005688683/kplr005688683-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005688683/kplr005688683-01-20160209194854_dvs.pdf,0,0,0,0,0.985
5688683,K04097.02,,FALSE POSITIVE,FALSE POSITIVE,19 02 45.600,+40 59 40.31,131.75425,4.44902309,88.9,1.373,,0.034,89.92,0.046,0,,0.008,25,0.55,699,4353,4.681,-0.18,0.603,0.648,,q1_q17_dr25_stellar,1.11101E+31,223,2,0.455,Mandel and Agol (2002 ApJ 580 171),10.4,,,5/10/2017 0:00,/missions/kepler/dv_files/0056/005688683/kplr005688683-20160209194854_dvr.pdf,/missions/kepler/dv_files/0056/005688683/kplr005688683-02-20160209194854_dvs.pdf,0,0,1,0,0
